GU_HE_GUbSF,Fine_Coarse_Recycled,wb_0_32__0_345__0_37,sb_1_8__2__2_3,PCE_1__PCE_2__SNP,SP_d,B,CSH_C,ex1,ex2,Flow_5m,SS_90m,Strength_28D
3,1,0.345,1.8,1,0,0.004,0,0.5,0,0,,
3,1,0.345,1.8,1,0,0,0,0,0.7,0,,
3,1,0.345,1.8,1,0,0.004,0,0,0.7,0,,
3,1,0.345,1.8,1,0,0,0,0.5,0.7,0,,
3,1,0.345,1.8,1,0,0.004,0,0.5,0.7,0,,
3,1,0.345,1.8,1,0,0,0.3,0,0,0,,
3,1,0.345,1.8,1,0,0.004,0.3,0,0,0,,
3,1,0.345,1.8,1,0,0,0.3,0.5,0,0,,
3,1,0.345,1.8,1,0,0.004,0.3,0.5,0,0,,
3,1,0.345,1.8,1,0,0,0.3,0,0.7,0,,
3,1,0.345,1.8,1,0,0.004,0.3,0,0.7,0,,
3,1,0.345,1.8,1,0,0,0.3,0.5,0.7,0,,
3,1,0.345,1.8,1,0,0.004,0.3,0.5,0.7,0,,
1,1,0.37,2,1,0,0,0.3,0,0,0,,
